Configuration,Shocks,Lag_depth,Lagged_shocks,RMSE,MAE,R2,Balanced_accuracy
Persistence baseline (FSI(t)=FSI(t−1)),—,—,—,0.38437075465907644,0.2469960325425691,-0.951437217986282,
Shocks + lag1+lag2 (no lagged shocks),On,2,Off,0.4231415774521537,0.3385240844397239,-1.3649682373889456,0.5
Shocks + lag1+lag2,On,2,On,0.423447186530947,0.33384840661974735,-1.3683856125839156,0.5
Shocks + lag1,On,1,On,0.42126975334712674,0.32982297357272067,-1.3440910014715173,0.5625
No shocks + no lags,Off,0,Off,0.43617840332971863,0.3540100376383091,-1.5129406265354475,0.5
Shocks only,On,0,Off,0.4250384410752131,0.3367572857561456,-1.3862191730244287,0.5625
Lag1 only,Off,1,Off,0.4317205884987762,0.3501726179212289,-1.4618377767575836,0.5
