"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","0.627650551314673","0.711114135519981","0.907884989749686","0.989725381224378","0.976880494952784","1.21965863281585","1.20271381578947","1.38272447934449","1.46148087654825","1.51881198155125","1.56737718873625","1.60328913693179","1.56994581891768","1.59092369994215","1.80601262301076","1.9310523587351","2.15080676110861","2.4307375040146","2.66302607405909","3.52729017421372","3.51058913518079","3.74681316013112","3.94174335193102","3.71310307389564","3.98350409175849","4.24409498151745","2.76556533889016","4.2722564049084","4.27129144950311","4.26839469545723","3.84156841965823","3.83971828213344","4.08910224384734","4.58293960999914","4.6374739851584","4.89885799149895","4.90619184145667","5.22016974538193","5.10617636275355","5.4200622022755","5.19354268544158","3.32290356853915","3.89683988089521","4.16844097468654","4.39952437574316","4.55489036754212","4.73755368951594","4.56798638892721","4.54512065229368","4.94491909562924","4.78049858638695","4.99814298978644","5.28841673655764","5.30463212213228","5.45117829529145",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","3.10238201996898","3.022414945445","3.01353605138967","3.08424533784044","3.06480962603734","3.06689608399691","3.08454207426398","3.05003062807366","2.90022670422268","2.88936204986698","2.88956463457901","2.8811447903134","2.91916139246514","2.87500954532776","2.87995903510054","2.85047761131974","2.79443130237249","2.78576381246305","2.76118230393698","2.69512111979868","2.69679969301952","2.58043911445059","2.52216811989605","2.47321368577668","2.48451601243535","2.52401321617763","2.54848086085455","2.54972333913494","2.56407421549381","2.49742226706107","2.4447539681872","2.43416607324935","2.4251246046185","2.44645525022235","2.5051938662469","2.51365411506581","2.4596674235077","2.51262162535476","2.55851561614869","2.45133764453482","2.4595092084574","2.39216334813843","2.4131059867589","2.41347870824739","2.40947382762841","2.34296123618272","2.31082675399085","2.28214963881836","2.25061273801769","2.24176650555795","2.15680732016516","2.12265810224159","2.07796316753601","2.05496477469778","2.04497656711774",
"Afghanistan","AFG","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","1.35516621246455","1.31583144639278","1.12022444307666","1.14920226593208","1.2223790807488","1.25011409936187","1.23466952264616","1.21340949493417","1.16324201089363","1.15145713100013","1.18825502716125","1.32501718731793","1.43858213228587","1.44426873024704","1.31362016889568","1.27939873553976","1.13396813365658","1.12563267168478","1.13555164502385","1.0680314985033","1.07354848136175","1.06333267940634","0.908639477718685","0.81549620120815","0.753643175834978","0.730318749107867","0.773236183030756","0.80193621416673","0.816691193463715","0.830082384740181","0.71359496544691","0.622569950257606","0.712345245374043","0.697557111674725","0.67881392426543","0.661552405334624","0.642638435808175","0.675866461915722","0.787686355225702","0.868798232410199","0.981771058633","1.08692644754405","0.973798000355628","0.889610831508906","0.864663569802177","0.830376447411965","0.782830573708614","0.853894911686213","0.86916599359133","0.856828410919333","0.829307569056258","0.820886544868588","0.786422145806921","0.782421589645638","0.774601235636553",
"Africa Western and Central","AFW","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","2.19564178641288","2.27497076346198","2.49802978695922","2.72780417050317","2.95153089933769","2.49053189163322","2.6941144410861","2.57493618698981","2.45628905816372","2.81871559706317","2.61191175897936","2.19749490470872","2.11463683289055","2.04313860625805","2.05196351042962","2.09500095940596","2.02337504965228","1.92188371606155","1.97183790593937","2.08611269322619","2.07156998645453","2.12380491603377","2.1872159346177","2.15591483545699","2.22506500082808","2.33934409395256","2.58787186579205","2.43092442286405","2.30976412965465","2.23439935608544","2.32495040540033","2.30946758650449","2.04527344496688","2.16059956239301","2.10408478216434","2.05448507860406","1.9371251690681","1.82111258891226","1.81311661637527","1.74138569202856","1.7946119351154","1.82629856410071","1.81654781509449","1.80808278596789","1.81879549110698","1.80931815244211","1.78583846726778","1.76246434013479","1.78242653961171","1.81030941779647","1.73368507314329","1.75163062566732","1.7295783538289","1.70673951356391","1.71743828526823",
"Angola","AGO","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","3.21802190682458","3.12493427753358","3.45252598610166","3.58123185810565","3.56642841687147","3.27662920668537","2.60993313604717","3.16112879926547","3.34022548501769","3.29211399673795","3.23437595280575","2.9519748845578","3.1167615516529","3.17644544749231","3.10671099692476","3.23616030890305","3.24963385587976","3.30247370463575","3.35361606645103","3.31973966064342","2.93165702765096","2.77781173896616","2.62895662745563","2.8557039432422","3.57785240552209","3.98731278711232","4.62512348305229","4.58936593396107","4.82216609265425","4.71287371383655","4.25647160220932","4.01328985703169","3.74669481504728","3.6433877226741","3.79772546032959","3.56115425090278","3.05870829979437","2.87452533406909","2.92122470098345","2.87927966078443","3.07643435827485","2.91357149322134","2.87924953631023","2.94379800669734","2.9085185327411","2.96674122031844","2.7627490870563","2.49492315801649","2.25148579799027","2.199453589045","1.88810351769261","1.92867695463878","1.90922252371396","1.85798570477976","1.84562051123627",
"Albania","ALB","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","3.85435773426009","3.74001361151778","4.06357021406733","3.74241537614858","3.7725668943426","3.76205230221999","3.92865481186695","4.06453671426741","4.38002140074334","4.73544520809586","4.70745289010429","4.26242160836021","4.40487623721482","4.61149242605381","4.62359382859764","4.3820718155454","4.37247633273617","4.37922496558411","4.26408888164728","4.12439129191563","3.49863169252059","2.77109945848983","1.90062392228735","1.92399994174674","2.15345985204843","2.05453067083592","1.98306015120423","1.75626000347491","1.85035783578869","2.25120610091811","2.33008646411961","2.41339296830604","2.62434406966873","2.69613003747842","2.776170910613","2.65413730824672","2.685906019187","2.69116304721488","2.63972552636061","2.65180174748652","2.7708348137552","2.92737664769491","2.8584532220695","2.9953828709696","3.21541066715409","3.20848037907321","3.11414632405133","3.47194505123127","3.52455561976629","3.37495000586105","3.16284882617225","3.41249484890524","3.13978094627424","3.00783523432176","2.99701993329766",
"Andorra","AND","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","6.12352546723889","6.12183091018122","6.19305313749357","6.66204212930441","6.22643322127849","6.08027750677606","6.67731469553318","6.64329819078061","6.73649870872419","7.11177814333609","6.75605003922055","5.77505631325288","5.60016768170329","5.50992365237902","5.39262604497799","5.37877210553626","5.49659542955193","5.5858880933122","5.82282574850919","5.93667098660629","5.69189686614624","5.3653235406795","5.51130541826662","5.70025594484526","5.83747263763317","5.84944785917387","5.88495685960445","5.9847164769063","5.87769837328887","5.86142363904993","6.00964066252571","6.02920235366712","5.97131433760702","6.08974093020165","6.19916062749198","6.37614763586218","6.46353526267072","6.44354293179489","6.6269321736906","6.60551098658819","6.77671888055505","6.75443393639539","7.02193274916865","6.93651632269726","6.96833953020117","6.95000399179064","6.97416200022871","6.94292618953614","6.85626484339057","6.80152375996662","6.46905572055527","6.64301741817535","6.71475495059328","6.70982269867487","6.70518646054157",
"United Arab Emirates","ARE","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","103.90561744423","106.911980228459","102.546660640912","116.149212074271","106.755444327901","97.7813637502395","104.481494351044","92.0754313166969","87.6249576781164","61.8260764684598","57.9094220734469","49.0319178437158","44.5170914889786","40.3133639060799","48.2480038223701","47.2799041447525","44.3923638204886","43.6591151054093","40.5193163466501","43.0947604018435","41.8832906617779","43.7984955841298","41.339036189017","42.3262662723837","42.4968688095635","42.7100353149636","41.9946919498422","39.3514965872912","36.8163487885395","35.1158248492273","33.5547397722963","34.8436589420425","33.1868017446307","33.2527203021999","32.9764931642074","33.3389498777008","32.4060210417041","30.7283583734767","31.794714108193","30.0428742378551","30.5237619868183","30.5976264747968","30.672920921584","31.0121589266961","30.0330668135751","29.888326451103","29.3437842574701","27.568144548138","25.5469282691294","26.6673230440879","26.5661089764769","26.6682450576241","25.3690603958699","24.257281577939","24.0432170683754",
"Argentina","ARG","Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.ALL.PC.CE.AR5","","","","","","","","","","","9.18045472783751","9.17074215631082","9.31052370346637","9.4762617830668","9.33406086739074","9.20507130932094","9.38254488774814","9.62988082640855","9.20771580351257","9.27421646750804","8.96257035836159","8.61627505857495","8.3675531634999","8.44175759029907","8.34947337839386","7.94217423197401","8.00797287288905","8.01666266028739","8.15992004161541","8.01063544832956","7.72578962184554","7.73119551695811","7.68440478196302","7.6356267643362","7.69351175817545","7.67378518746211","7.7821538240086","7.82483964035509","7.84020558185416","7.929683969004","7.75099220766043","7.58809376522017","7.48215016775596","7.96109866151825","8.3639221601778","8.39907112231958","8.64874325865745","8.85536643731028","8.83174829065043","8.1618768659207","8.1695608972277","8.23915797162086","8.33280026685818","8.45474268686482","8.36305564854614","8.419180232533","8.40956874271033","8.41512095560571","8.34198822874507","8.21822379040619","7.83675372380909","8.19464815730641","8.44644579939211","8.29353889698499","8.1920364466519",
