Configuration,Shocks,Lag_depth,Lagged_shocks,n_features,RMSE,MAE,R2,Balanced_accuracy,Test_N
Persistence baseline (FSI(t)=FSI(t-1)),—,—,—,0,0.06987396606398634,0.0553710527685956,0.6442825385387958,,11
Shocks + lag1+lag2 (no lagged shocks),On,2,Off,87,0.07010632758171899,0.05093082205654508,0.6419127723440506,0.7142857142857143,11
Shocks + lag1+lag2,On,2,On,89,0.070362987525466,0.04972681189789681,0.6392860512920108,0.7142857142857143,11
Shocks + lag1,On,1,On,67,0.07118592869139496,0.05172688526005686,0.6307991386641822,0.6428571428571428,11
No shocks + no lags,Off,0,Off,22,0.07878354557246842,0.06457563852121154,0.5477845053183447,0.5,11
Shocks only,On,0,Off,45,0.07912964721648941,0.05922095545926705,0.5438025491807692,0.6428571428571428,11
Lag1 only,Off,1,Off,43,0.08093637802586126,0.07097089143704133,0.5227324293159805,0.5,11
