fpr,tpr_smooth
0.0,0.2285714285714286
0.010101010101010102,0.2571428571428572
0.020202020202020204,0.28571428571428575
0.030303030303030304,0.31428571428571433
0.04040404040404041,0.3428571428571429
0.05050505050505051,0.3714285714285715
0.06060606060606061,0.4000000000000001
0.07070707070707072,0.42857142857142866
0.08080808080808081,0.42857142857142866
0.09090909090909091,0.42857142857142866
0.10101010101010102,0.42857142857142866
0.11111111111111112,0.42857142857142866
0.12121212121212122,0.42857142857142866
0.13131313131313133,0.42857142857142866
0.14141414141414144,0.42857142857142866
0.15151515151515152,0.42857142857142866
0.16161616161616163,0.42857142857142866
0.17171717171717174,0.42857142857142866
0.18181818181818182,0.43809523809523815
0.19191919191919193,0.44761904761904764
0.20202020202020204,0.45714285714285713
0.21212121212121213,0.4666666666666666
0.22222222222222224,0.4761904761904761
0.23232323232323235,0.4857142857142856
0.24242424242424243,0.4952380952380951
0.25252525252525254,0.5047619047619046
0.26262626262626265,0.5142857142857141
0.27272727272727276,0.5238095238095236
0.2828282828282829,0.5333333333333332
0.29292929292929293,0.5428571428571427
0.30303030303030304,0.5523809523809522
0.31313131313131315,0.5619047619047617
0.32323232323232326,0.5714285714285713
0.33333333333333337,0.5714285714285713
0.3434343434343435,0.5714285714285713
0.3535353535353536,0.5714285714285713
0.36363636363636365,0.5714285714285713
0.37373737373737376,0.5714285714285713
0.38383838383838387,0.5714285714285713
0.393939393939394,0.5714285714285713
0.4040404040404041,0.5714285714285713
0.4141414141414142,0.5714285714285713
0.42424242424242425,0.5714285714285713
0.43434343434343436,0.5904761904761904
0.4444444444444445,0.6095238095238094
0.4545454545454546,0.6285714285714284
0.4646464646464647,0.6476190476190475
0.4747474747474748,0.6666666666666666
0.48484848484848486,0.6857142857142857
0.494949494949495,0.7047619047619048
0.5050505050505051,0.7238095238095239
0.5151515151515152,0.742857142857143
0.5252525252525253,0.761904761904762
0.5353535353535354,0.7809523809523811
0.5454545454545455,0.8000000000000002
0.5555555555555556,0.8190476190476191
0.5656565656565657,0.8380952380952382
0.5757575757575758,0.8571428571428573
0.5858585858585859,0.8571428571428573
0.595959595959596,0.8571428571428573
0.6060606060606061,0.8571428571428573
0.6161616161616162,0.8571428571428573
0.6262626262626263,0.8571428571428573
0.6363636363636365,0.8571428571428573
0.6464646464646465,0.8571428571428573
0.6565656565656566,0.8571428571428573
0.6666666666666667,0.8571428571428573
0.6767676767676768,0.8571428571428573
0.686868686868687,0.8571428571428573
0.696969696969697,0.8571428571428573
0.7070707070707072,0.8571428571428573
0.7171717171717172,0.8571428571428573
0.7272727272727273,0.8571428571428573
0.7373737373737375,0.8571428571428573
0.7474747474747475,0.8571428571428573
0.7575757575757577,0.8571428571428573
0.7676767676767677,0.8571428571428573
0.7777777777777778,0.8571428571428573
0.787878787878788,0.8571428571428573
0.797979797979798,0.8571428571428573
0.8080808080808082,0.8571428571428573
0.8181818181818182,0.8571428571428573
0.8282828282828284,0.8571428571428573
0.8383838383838385,0.8571428571428573
0.8484848484848485,0.8571428571428573
0.8585858585858587,0.8571428571428573
0.8686868686868687,0.8571428571428573
0.8787878787878789,0.8571428571428573
0.888888888888889,0.8571428571428573
0.8989898989898991,0.8571428571428573
0.9090909090909092,0.8571428571428573
0.9191919191919192,0.8571428571428573
0.9292929292929294,0.8666666666666668
0.9393939393939394,0.8666666666666668
0.9494949494949496,0.8666666666666668
0.9595959595959597,0.8666666666666668
0.9696969696969697,0.8666666666666668
0.9797979797979799,0.8666666666666668
0.98989898989899,0.8666666666666668
1.0,0.8666666666666668
