year,food_prod_index_2014_16_100,cv5,cv5_scaled_0_1,S_stability_from_cv,A_availability,X_access,U_utilization,S_stability,FSI_geomean
1961,41.21,,,,0.0,,0.0,,
1962,41.26,,,,0.0,,0.0,,
1963,42.93,,,,0.0,,0.0,,
1964,43.52,,,,0.0040646328634464,,0.041047028480491,,
1965,45.33,0.040122720212941325,0.5139079265579801,0.4860920734420199,0.0,,0.0,0.4860920734420199,
1966,46.22,0.04484719660097238,0.6087269741951721,0.3912730258048279,0.0356784440235881,,0.0931789496789761,0.3912730258048279,
1967,48.6,0.04997756936558064,0.711692259575014,0.28830774042498597,0.0627759964465674,,0.1156779893541127,0.2883077404249859,
1968,49.08,0.049667284869923715,0.7054649281294996,0.29453507187050043,0.0887444841852552,,0.1700049388135866,0.2945350718705004,
1969,49.71,0.0398731470286514,0.5088990557950521,0.4911009442049479,0.1248745540825603,,0.1403720572902373,0.4911009442049479,
1970,48.96,0.027692175952025767,0.2644300433754199,0.7355699566245801,0.1203582953453974,0.0,0.0926301926137298,0.7355699566245801,0.0016922446295061
1971,53.18,0.03754099206144441,0.4620932947390483,0.5379067052609516,0.1463267830840851,0.0,0.145859627942709,0.5379067052609516,0.0018407358517962
1972,52.55,0.039702673830433875,0.5054777017708048,0.49452229822919525,0.1576174299269931,0.0,0.1272018877243045,0.4945222982291952,0.0017744792255299
1973,53.59,0.04099887129158361,0.5314920573779844,0.46850794262201556,0.132778006872596,0.0028547799949555,0.0426932996762328,0.4685079426220155,0.0524739633232083
1974,52.57,0.0354026635370229,0.4191775814264058,0.5808224185735942,0.1226164247139791,0.0103620850629235,0.030620644240794,0.5808224185735942,0.0689466825006215
1975,56.78,0.03271706500969529,0.3652782974037009,0.6347217025962991,0.1248745540825603,0.0191235341767154,0.0520221697854351,0.6347217025962991,0.0942331001837942
1976,58.1,0.04684052237649132,0.6487325189671169,0.3512674810328831,0.2716529630403624,0.0311208930072846,0.2462821708829501,0.3512674810328831,0.1644501803459443
1977,60.17,0.056006187518451274,0.8326851029875957,0.16731489701240432,0.2400391518802207,0.0442353887373725,0.1425670855512254,0.1673148970124043,0.1261541243489097
