year,corn_production,corn_area_harvested,corn_yield,wheat_production,wheat_area_harvested,wheat_yield,soybeans_production,soybeans_area_harvested,soybeans_yield,A_availability,X_access,U_utilization,S_stability,FSI_geomean,cpi_food_index,cpi_food_yoy_pct,iENERGY,iAGRICULTURE,iFOOD,iGRAINS,iFERTILIZERS,iMETMIN,CRUDE_PETRO,MAIZE,SOYBEANS,WHEAT_US_HRW,WHEAT_US_SRW,us_population
1980,6639396000.0,72961000.0,90.99924617261276,2380934000.0,71125000.0,33.47534622144112,1797543000.0,67813000.0,26.50735109787209,0.2885889333047244,0.0919227411025596,0.0915326784832351,0.6705781256858019,0.200877848515678,88.35833333333333,7.995518435526572,46.7843762097,68.76335916492,70.99277537217,74.22412381344,52.53438338817,42.87884752722,36.86874993642,125.2625,296.22916666667,172.72666666667,168.30166666667,
1981,8118650000.0,74524000.0,108.94007299661854,2785357000.0,80642000.0,34.539780759405765,1989110000.0,66163000.0,30.06378187204329,0.3337515206763558,0.113121484344608,0.2226856170773195,0.5010026938510976,0.2547564240765527,94.81666666666666,7.309252098462693,46.86210123227,61.71165456572,66.04958788983,78.7024709496,49.78514187756,33.87738996105,35.48499965668,130.78083333333,288.41666666667,174.96,154.58666666667,
1982,8235101000.0,72719000.0,113.24552042794868,2764967000.0,77937000.0,35.47694933086981,2190297000.0,69442000.0,31.5413870568244,0.3032667742005047,0.1199187176750233,0.1420183284859784,0.4022284140850579,0.2134923106990449,98.08333333333333,3.445245210054493,44.01151477599,52.65753060752,52.79934778391,60.4349998706,37.5156049801,28.89373604256,32.64722212685,109.2625,244.60416666667,160.355,132.55166666667,
1983,4174251000.0,51479000.0,81.08648186639212,2419824000.0,61390000.0,39.41723407721127,1635772000.0,62525000.0,26.16188724510196,0.3473002968878454,0.1365032894898072,0.2199418317510829,0.1118008323078965,0.1847780104084316,99.125,1.062022090059478,39.34468226804,57.0932588731,57.47027171702,65.18058833724,34.91435898225,34.38814132535,29.65777783924,136.01666666667,281.5875,157.415,137.30416666667,
1984,7672130000.0,71897000.0,106.71001571692838,2594777000.0,66928000.0,38.76967786277791,1860863000.0,66113000.0,28.14670337150031,0.3981082076809303,0.1600615500465551,0.2825001371892665,0.064807250968391,0.1848130367193206,102.79166666666667,3.6990332072299292,37.82405642812,59.75045935167,58.89498383695,63.27364027492,39.3290029731,30.89119865988,28.55749999152,135.9425,282.08333333333,152.33333333333,140.2275,
1985,8875453000.0,75209000.0,118.01051735829488,2424115000.0,64704000.0,37.46468533630069,2099056000.0,61599000.0,34.07613759963636,0.516659999531463,0.176701891910772,0.47676013828678,0.0002043699776246,0.0546123378532652,104.26666666666667,1.434941224158881,36.14621258779,50.2049359388,48.60682397793,53.53752518234,33.66686671131,28.24157753227,27.18333333333,112.23333333333,224.41666666667,135.82833333333,128.66,
1986,8225764000.0,68907000.0,119.3748675751375,2090570000.0,60688000.0,34.44783153176905,1942558000.0,58312000.0,33.31317739058856,0.4850461883713208,0.1892900490288131,0.4361521154584867,0.0,0.0025155746857988,107.25,2.8612531969309574,21.85039023997,47.92935963954,42.58335980415,44.83088989233,27.18424107478,28.34936993091,14.35,87.55833333333,208.41666666667,114.91666666667,118.38916666667,
1987,7131300000.0,59505000.0,119.84371061255356,2107685000.0,55945000.0,37.674233622307625,1937722000.0,57172000.0,33.89284964668019,0.5956945274318178,0.2038937320406115,0.5793777094880106,0.0228099053389957,0.2001604126737749,111.88333333333333,4.320124320124319,24.51793142323,49.59440602964,45.45148752213,43.92267834808,29.18084212286,36.07201407439,18.14583333333,75.69666666667,215.75,112.89583333333,112.10166666667,
1988,4928681000.0,58250000.0,84.61254935622317,1812201000.0,53189000.0,34.07097332155145,1548841000.0,57373000.0,26.99599114566085,0.604727044906144,0.2247361466811528,0.5755364100312779,0.3739580652924809,0.4135537920712188,116.55,4.171011470281538,21.19183459737,56.82094870518,57.93201259775,58.66534361675,35.55610519657,56.43143375197,14.71805555556,106.89083333333,303.5,145.19916666667,140.7225,
1989,7531953000.0,64783000.0,116.26434404087492,2036618000.0,62189000.0,32.748846258984706,1923666000.0,59538000.0,32.30988612314824,0.5765004277988747,0.2466038460674491,0.561817483400098,0.3611534172966105,0.4121180294202087,124.20833333333333,6.570856570856565,24.66286336059,57.44896237829,58.69403662968,63.8503790253,33.82661483868,51.569472723,17.83888888889,111.52416666667,275.0,169.235,161.26166666667,
1990,7934028000.0,66952000.0,118.50322619189868,2729778000.0,69103000.0,39.50303170629351,1925947000.0,56512000.0,34.08031922423556,0.6442443088563214,0.2624092869234506,0.6166931899248204,0.3728463406743775,0.4440247795916501,132.31666666666666,6.528010734652812,30.94902134676,55.05028155871,54.68209145572,57.91277454146,34.77358607953,45.33768759565,22.87916666667,109.27583333333,246.75,135.5225,129.08916666667,
1991,7474765000.0,68822000.0,108.61011013919968,1980139000.0,57803000.0,34.256682179125654,1986539000.0,58011000.0,34.2441778283429,0.6769871847007543,0.2697169559019794,0.705591834494869,0.3360643023906953,0.4561589041008341,135.84166666666667,2.664063484066004,27.00753120564,54.32339245141,54.09772228551,58.07645931237,38.85140621258,38.57241981199,19.37083333333,107.42,239.58333333333,128.665,126.11333333333,
1992,9476698000.0,72077000.0,131.48019479168113,2466798000.0,62761000.0,39.30463185736365,2190354000.0,58233000.0,37.61362114265108,0.7187625780195138,0.2866863126513396,0.7335784448224764,0.0,0.0035063861689139,136.82500000000002,0.7238819704312727,26.21400696194,53.73441508567,53.87355205386,58.38691422969,35.49601630199,37.31883515755,19.02083333333,104.24583333333,235.5,151.2,145.14166666667,
1993,6337730000.0,62933000.0,100.70598890883956,2396440000.0,62712000.0,38.21342007909172,1869718000.0,57307000.0,32.626345821627375,0.7706995534968888,0.3020141880870682,0.7593700268890958,0.4758550227209753,0.5385302961919259,140.05833333333334,2.363115902308288,23.94841605937,57.33679916241,54.12246443785,54.47818832891,30.45608141373,32.14374189495,16.84166666667,102.09,255.08333333333,140.23833333333,134.77416666667,
1994,10050520000.0,72514000.0,138.60109771906116,2320981000.0,61770000.0,37.57456694188117,2514869000.0,60809000.0,41.35685507079544,0.8384434345543367,0.322514279816926,0.9069856774405968,0.0610458647562688,0.3498000353196869,144.08333333333334,2.873802582257401,22.32581449567,64.03326854622,58.13676250509,58.76629661874,32.84503198496,38.56614910051,15.88666666667,107.55,251.83333333333,149.72916666667,138.555,
1995,7400051000.0,65210000.0,113.48030976844042,2182708000.0,60955000.0,35.808514477893524,2174254000.0,61544000.0,35.328447939685425,0.7424729363896194,0.3384022758430062,0.8257696317840093,0.1243477416385804,0.4007768967370731,148.75,3.2388663967611198,23.87785370246,66.86995797446,62.99523826574,69.37700561218,38.69238121446,46.96237468675,17.18333333333,123.4875,259.25,176.9825,167.35833333333,
1996,9232557000.0,72644000.0,127.09318044160564,2277388000.0,62819000.0,36.25317181107626,2380274000.0,63349000.0,37.57397906833573,0.7503763891796545,0.3586805847215025,0.8274159029797518,0.1980443360730684,0.4582667312132106,154.29999999999998,3.731092436974781,29.02206941973,68.26998129599,67.96454239064,83.60636506404,44.07726997883,40.05542094931,20.42,165.80916666667,304.83333333333,207.6,187.41916666667,
1997,9206832000.0,72671000.0,126.69196791017048,2481466000.0,62840000.0,39.4886378103119,2688750000.0,69110000.0,38.9053682535089,0.819249334921393,0.3826376404789073,0.8592438127640891,0.0,0.004051166103327,158.14166666666668,2.489738604450231,26.85881326531,65.85868871401,62.80723895661,64.7590826624,38.58906893846,41.2903055161,19.17104272487,117.09166666667,295.41666666667,159.48416666667,143.64833333333,
1998,9758685000.0,72589000.0,134.437518081252,2547321000.0,59002000.0,43.17346869597641,2741014000.0,70441000.0,38.91219602220298,0.8305399817643014,0.4049960528546035,0.893815507874663,0.4205953857926755,0.5963221359192177,161.13333333333333,1.8917637139695298,19.06748710387,57.31951423402,57.29676483701,57.42664208776,33.74830913977,33.76474325216,13.06444166667,101.98666666667,243.25,126.12666666667,111.515,
1999,9430612000.0,70487000.0,133.79221700455403,2295560000.0,53773000.0,42.68982574898183,2653758000.0,72446000.0,36.63084228252768,0.8474759520286624,0.4314771122969967,0.9975305932063868,0.3023771266790981,0.5762886638807591,164.20833333333334,1.9083574679354731,24.41549872516,50.64301237484,48.13922374424,49.59467720486,31.8720853264,33.52692270648,18.07138888889,90.21666666667,201.66666666667,112.0425,96.27833333333,
2000,9915051000.0,72440000.0,136.872598012148,2228160000.0,53063000.0,41.99084107570247,2757810000.0,72408000.0,38.08708982432881,0.9400592561405072,0.4601971535086114,0.9695439828787796,0.6890532904632318,0.7332125182125405,167.88333333333335,2.238010657193623,39.2156377983,48.86405185167,46.88457865685,46.64525053004,36.11762973264,38.24927811018,28.22971944444,88.53416666667,211.83333333333,114.0875,98.91416666667,282162411.0
2001,9502580000.0,68768000.0,138.1831665891112,1947453000.0,48473000.0,40.17603614383265,2890682000.0,72975000.0,39.61194929770469,0.8858641512945492,0.472574119034705,0.886681666026451,0.9242203688578532,0.7653235568640672,173.36666666666667,3.2661570535093665,35.04610770737,47.07950053361,48.73345661443,46.89259747614,34.86330709925,34.38309024162,24.35182500429,89.64083333333,195.83333333333,126.80833333333,107.72416666667,284968955.0
2002,8966787000.0,69330000.0,129.33487667676332,1605878000.0,45824000.0,35.044474511173185,2756147000.0,72497000.0,38.01739382319269,0.9716730673006492,0.4855578268052787,0.9739340394007572,1.0,0.8233275866725963,175.61666666666667,1.297827340895985,33.97167594969,50.63330724663,51.79877518495,52.93876586234,34.92322603438,33.08425939619,24.92774838181,99.27083333333,212.66666666667,148.0775,129.9575,287625193.0
2003,10087292000.0,70944000.0,142.18668245376634,2344415000.0,53063000.0,44.181727380660725,2453845000.0,72476000.0,33.85734588001545,0.964898679194904,0.5077922621977883,0.9843604236404534,0.999203074185171,0.8331897607670244,179.39166666666665,2.149568188288864,41.39682750697,54.93812022408,56.18551768739,54.3154605814,42.10999075845,36.83175532693,28.89890318948,105.37007583333,264.0,146.1431,138.57684166667,290107933.0
