model,delta_test_rmse,delta_test_mae,delta_test_r2,level_test_rmse,level_test_mae,level_test_r2,level_base_rmse,level_base_mae,level_base_r2
RidgeCV,5.655793776781249,5.075805609280933,-220.24859714947902,5.655793776781249,5.075805609280933,-421.51394004232395,0.38437075465907644,0.2469960325425691,-0.951437217986282
RandomForest,0.423447186530947,0.33384840661974735,-0.24020048720927556,0.423447186530947,0.33384840661974735,-1.3683856125839156,0.38437075465907644,0.2469960325425691,-0.951437217986282
GradientBoosting,0.5514205604275572,0.4671292351766199,-1.1030970048763904,0.5514205604275572,0.4671292351766199,-3.0162415186804123,0.38437075465907644,0.2469960325425691,-0.951437217986282
