iso3,year,arable_land
FRA,1976,31.7858799517581
FRA,1977,32.0345115502366
FRA,1978,32.1977920029687
FRA,1979,32.2868540680954
FRA,1980,32.4185917060952
FRA,1981,32.5187865293627
FRA,1982,32.7507189906299
FRA,1983,32.7841172650524
FRA,1984,33.0438816216718
FRA,1985,33.2554040263475
FRA,1986,33.3945635031079
FRA,1987,33.7081361907413
FRA,1988,33.0513034604323
FRA,1989,32.8600055663791
FRA,1990,32.9989794971704
FRA,1991,33.0852583727618
FRA,1992,33.114203543928
FRA,1993,33.4609889600148
FRA,1994,33.5767696446795
FRA,1995,33.7194544948511
FRA,1996,33.7786436589665
FRA,1997,33.8994340847945
FRA,1998,33.9883106039521
FRA,1999,34.053437239076
FRA,2000,34.0558493366732
FRA,2001,34.040077929307
FRA,2002,34.0875776973745
FRA,2003,34.0565915205492
FRA,2004,34.081083588459
FRA,2005,34.0988960014844
FRA,2006,34.027275257445
FRA,2007,33.9293069858057
FRA,2008,33.8968364412283
FRA,2009,33.8736431951016
FRA,2010,33.9562111513127
FRA,2011,33.9074125614621
FRA,2012,33.9209574172001
FRA,2013,33.9654884497634
FRA,2014,34.0163280452732
FRA,2015,34.2864829761573
FRA,2016,34.0586622135634
FRA,2017,34.2598886724186
FRA,2018,33.6328045273216
FRA,2019,33.2921152240468
FRA,2020,31.5143631134614
FRA,2021,31.5621764542165
FRA,2022,31.5249188236386
FRA,2023,31.3558697467298
IND,1961,52.4036472610227
IND,1962,52.7043344017705
IND,1963,52.9633154961506
IND,1964,53.0514363360566
IND,1965,53.2142244525241
IND,1966,53.3400152697944
IND,1967,53.7402587792909
IND,1968,53.8374607744544
IND,1969,53.8061812396786
IND,1970,54.0026032645071
IND,1971,53.7321866412843
IND,1972,53.8768124472368
IND,1973,54.1653913809746
IND,1974,54.3190983421847
IND,1975,54.4324446133614
IND,1976,54.5061028726721
IND,1977,54.5067755508393
IND,1978,54.9036556694998
IND,1979,54.9726051816399
IND,1980,54.7741651223097
IND,1981,54.7936727891591
IND,1982,54.906010043085
IND,1983,54.7331317541092
IND,1984,55.0311281821881
IND,1985,55.0048937336665
IND,1986,54.9608333137136
IND,1987,54.892220140657
IND,1988,54.7788738694803
IND,1989,54.9833680323155
IND,1990,54.9776502678941
IND,1991,54.884484341734
IND,1992,54.7243869379354
IND,1993,54.6840262479021
IND,1994,54.6635095638018
IND,1995,54.456997366465
IND,1996,54.1590009383861
IND,1997,54.3527322505457
IND,1998,54.2881551464925
IND,1999,54.1421839842055
IND,2000,54.127048725443
IND,2001,53.9235635798587
IND,2002,53.959551861805
IND,2003,53.7466492218795
IND,2004,53.7069612100135
IND,2005,53.6272488471978
IND,2006,53.3642316838144
IND,2007,53.1489746703036
IND,2008,53.1398935150461
