Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2015","2015","101.65"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2016","2016","99.41"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","106.82"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2018","2018","107.35"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2019","2019","108.93"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2020","2020","111.82"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2021","2021","111.98"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2022","2022","113.92"
"QI","Production Indices","076","Brazil","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2023","2023","125.29"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1961","1961","68.97"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1962","1962","78.65"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1963","1963","74.34"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1964","1964","74.13"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1965","1965","78.54"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1966","1966","75.21"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1967","1967","80.13"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1968","1968","82.76"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1969","1969","78.01"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1970","1970","83.36"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1971","1971","83.14"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1972","1972","82.05"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1973","1973","90.06"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1974","1974","89.9"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1975","1975","84.74"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1976","1976","84.97"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1977","1977","82.57"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1978","1978","88.96"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1979","1979","96.43"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1980","1980","96.42"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1981","1981","92.94"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1982","1982","99.68"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1983","1983","95.58"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1984","1984","102.47"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1985","1985","100.91"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1986","1986","99.66"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1987","1987","102.65"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1988","1988","100.18"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1989","1989","99.47"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1990","1990","101.62"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1991","1991","98.44"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1992","1992","102.42"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1993","1993","96.96"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1994","1994","98.15"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1995","1995","100.3"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1996","1996","105.96"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1997","1997","106.73"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1998","1998","107.26"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1999","1999","107.74"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2000","2000","103.54"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2001","2001","99.36"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2002","2002","104.46"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2003","2003","95.96"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2004","2004","104.2"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2005","2005","100.25"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2006","2006","96"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2007","2007","95.01"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2008","2008","99.74"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2009","2009","100.92"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2010","2010","98.59"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2011","2011","100.92"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2012","2012","97.79"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2013","2013","96.25"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2014","2014","102.48"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2015","2015","102.22"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2016","2016","95.29"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","101.33"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2018","2018","97.24"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2019","2019","98.06"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2020","2020","93.76"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2021","2021","96.78"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2022","2022","94.55"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2023","2023","95.42"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1961","1961","22.17"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1962","1962","21.87"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1963","1963","22.35"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1964","1964","22.89"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1965","1965","21.85"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1966","1966","21.73"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1967","1967","23.08"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1968","1968","24.49"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1969","1969","25.26"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1970","1970","26.7"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1971","1971","27.03"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1972","1972","25.83"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1973","1973","27.82"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1974","1974","26.83"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1975","1975","29.93"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1976","1976","29.66"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1977","1977","31.91"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1978","1978","33.07"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1979","1979","31.44"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1980","1980","32.53"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1981","1981","34.96"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1982","1982","34.68"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1983","1983","38.89"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1984","1984","39.53"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1985","1985","40.33"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1986","1986","40.88"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1987","1987","40.64"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1988","1988","44.62"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1989","1989","47.14"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1990","1990","47.6"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1991","1991","48.73"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1992","1992","50.55"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1993","1993","51.85"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1994","1994","53.53"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1995","1995","54.85"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1996","1996","56.81"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1997","1997","58.54"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1998","1998","59.55"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1999","1999","62.41"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2000","2000","62"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2001","2001","63.96"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2002","2002","59.22"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2003","2003","65.04"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2004","2004","64.09"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2005","2005","67.45"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2006","2006","70.88"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2007","2007","76.89"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2008","2008","78.5"
"QI","Production Indices","356","India","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2009","2009","76.73"
