iso3,year,total_emissions
BRA,1970,3.52644617859542
BRA,1971,3.50376659748636
BRA,1972,3.62920942943387
BRA,1973,3.80472793943013
BRA,1974,3.97345410003409
BRA,1975,4.08285147779588
BRA,1976,4.30964220132717
BRA,1977,4.36684761798889
BRA,1978,4.38317189491414
BRA,1979,4.47966313732526
BRA,1980,4.60031004197011
BRA,1981,4.38095663070962
BRA,1982,4.3414182384609
BRA,1983,4.21150301035726
BRA,1984,4.278382784885
BRA,1985,4.32785687875997
BRA,1986,4.46874599933481
BRA,1987,4.49906914671962
BRA,1988,4.52151826386036
BRA,1989,4.50543078402532
BRA,1990,4.35310426408044
BRA,1991,4.45767221293871
BRA,1992,4.52312651222172
BRA,1993,4.61581844122071
BRA,1994,4.72668616230737
BRA,1995,4.88317459750984
BRA,1996,4.83831587778823
BRA,1997,4.91253720209277
BRA,1998,4.9294123944625
BRA,1999,4.94666725292722
BRA,2000,5.00139462358328
BRA,2001,5.00337198493195
BRA,2002,5.06727364492225
BRA,2003,5.17332462685972
BRA,2004,5.38342920580059
BRA,2005,5.41802582073222
BRA,2006,5.38206473778154
BRA,2007,5.43196816671362
BRA,2008,5.55561112065348
BRA,2009,5.37383414888522
BRA,2010,5.73059393745119
BRA,2011,5.8716801693265
BRA,2012,5.99366166878418
BRA,2013,6.12632769489827
BRA,2014,6.24039037144425
BRA,2015,6.11488755115816
BRA,2016,5.94586563282444
BRA,2017,5.95612301493021
BRA,2018,5.80242245808118
BRA,2019,5.78584919281396
BRA,2020,5.73183731329906
BRA,2021,6.09489481317549
BRA,2022,6.07942558480682
BRA,2023,6.14363086716443
FRA,1970,12.1906750971198
FRA,1971,12.2804893214996
FRA,1972,12.4894066268502
FRA,1973,13.0931879681738
FRA,1974,12.6595090131424
FRA,1975,11.823058681733
FRA,1976,12.5972484004621
FRA,1977,12.2168537739839
FRA,1978,12.4818070220665
FRA,1979,12.5864964603123
FRA,1980,12.1030497709383
FRA,1981,11.1129988869556
FRA,1982,10.7115766864852
FRA,1983,10.3724028143415
FRA,1984,10.1065789500521
