Configuration,Shocks,Lag_depth,Lagged_shocks,RMSE,MAE,R2,Balanced_accuracy
Persistence baseline (FSI(t)=FSI(t−1)),—,—,—,0.38437075465907644,0.2469960325425691,-0.951437217986282,
Shocks + lag1+lag2 (no lagged shocks),On,2,Off,0.42163660899253064,0.33636834424257844,-1.3481754031823767,0.5
Shocks + lag1+lag2,On,2,On,0.42408924338447007,0.33422923766516893,-1.3755732435597565,0.5
Shocks + lag1,On,1,On,0.42153079975608365,0.33012369468119024,-1.3469970070661672,0.5625
No shocks + no lags,Off,0,Off,0.43611692136280983,0.35413641434427573,-1.512232248301331,0.5
Shocks only,On,0,Off,0.42500474202860405,0.3370122046728028,-1.3858408066670003,0.5625
Lag1 only,Off,1,Off,0.43100186158163123,0.34943006063367726,-1.4536476821151534,0.5
