year,corn_production,corn_area_harvested,corn_yield,wheat_production,wheat_area_harvested,wheat_yield,soybeans_production,soybeans_area_harvested,soybeans_yield,A_availability,X_access,U_utilization,S_stability,FSI_geomean,cpi_food_index,cpi_food_yoy_pct,iENERGY,iAGRICULTURE,iFOOD,iGRAINS,iFERTILIZERS,iMETMIN,CRUDE_PETRO,MAIZE,SOYBEANS,WHEAT_US_HRW,WHEAT_US_SRW,us_population,FSI_lag1,dFSI,corn_production_lag1,corn_production_lag2,corn_production_yoy_pct,corn_area_harvested_lag1,corn_area_harvested_lag2,corn_area_harvested_yoy_pct,corn_yield_lag1,corn_yield_lag2,corn_yield_yoy_pct,wheat_production_lag1,wheat_production_lag2,wheat_production_yoy_pct,wheat_area_harvested_lag1,wheat_area_harvested_lag2,wheat_area_harvested_yoy_pct,wheat_yield_lag1,wheat_yield_lag2,wheat_yield_yoy_pct,soybeans_production_lag1,soybeans_production_lag2,soybeans_production_yoy_pct,soybeans_area_harvested_lag1,soybeans_area_harvested_lag2,soybeans_area_harvested_yoy_pct,soybeans_yield_lag1,soybeans_yield_lag2,soybeans_yield_yoy_pct,cpi_food_index_lag1,cpi_food_index_lag2,cpi_food_index_yoy_pct,cpi_food_yoy_pct_lag1,cpi_food_yoy_pct_lag2,cpi_food_yoy_pct_yoy_pct,iENERGY_lag1,iENERGY_lag2,iENERGY_yoy_pct,iAGRICULTURE_lag1,iAGRICULTURE_lag2,iAGRICULTURE_yoy_pct,iFOOD_lag1,iFOOD_lag2,iFOOD_yoy_pct,iGRAINS_lag1,iGRAINS_lag2,iGRAINS_yoy_pct,iFERTILIZERS_lag1,iFERTILIZERS_lag2,iFERTILIZERS_yoy_pct,iMETMIN_lag1,iMETMIN_lag2,iMETMIN_yoy_pct,CRUDE_PETRO_lag1,CRUDE_PETRO_lag2,CRUDE_PETRO_yoy_pct,MAIZE_lag1,MAIZE_lag2,MAIZE_yoy_pct,SOYBEANS_lag1,SOYBEANS_lag2,SOYBEANS_yoy_pct,WHEAT_US_HRW_lag1,WHEAT_US_HRW_lag2,WHEAT_US_HRW_yoy_pct,WHEAT_US_SRW_lag1,WHEAT_US_SRW_lag2,WHEAT_US_SRW_yoy_pct,us_population_lag1,us_population_lag2,us_population_yoy_pct
1971,5646260000.0,64123000.0,88.0535845172559,1618636000.0,47685000.0,33.94434308482752,1176101000.0,42705000.0,27.5401241072474,0.1463267830840851,0.0,0.145859627942709,0.5379067052609516,0.0018407358517962,40.891666666666666,2.421206428720501,2.70936939051966,24.62716930848,26.62365467549,27.35459850323,8.51416868529,16.8007732166,1.69,58.4,125.58333333333,61.72833333333,,,0.0016922446295061,0.0001484912222900999,4152243000.0,,35.980962578538865,57358000.0,,11.794344293734094,72.39169775794134,,21.634921191769465,1351558000.0,,19.760750186081545,43564000.0,,9.459645578918362,31.024653383527685,,9.410869688716739,1127100000.0,,4.347529056871613,42249000.0,,1.079315486757082,26.67755449833132,,3.2333158909675586,39.925,,2.4212064287205237,4.9967126890204,,-51.54401344626489,2.11311453784639,,28.216873340001314,24.64563716387,,-0.07493356843325527,26.0936772533,,2.0310568611902724,27.44792480206,,-0.34001222133556164,8.69299740406,,-2.057158313270391,18.27384108503,,-8.061074087137287,1.21,,39.66942148760331,58.4,,0.0,116.91666666667,,7.412687099067505,54.9025,,12.432645750794592,,,,,,
1972,5579832000.0,57513000.0,97.01862187679308,1546209000.0,47303000.0,32.687334841341986,1270608000.0,45683000.0,27.81358492218112,0.1576174299269931,0.0,0.1272018877243045,0.4945222982291952,0.0017744792255299,42.708333333333336,4.442632973303451,2.92528497197365,26.09892699168,28.55323298436,28.83159931739,11.88708413578,16.46221884098,1.82,55.7525,140.0,69.8125,,,0.0018407358517962,-6.62566262663001e-05,5646260000.0,4152243000.0,-1.176495591772253,64123000.0,57358000.0,-10.308313709589378,88.0535845172559,72.39169775794134,10.18134288193604,1618636000.0,1351558000.0,-4.474569946547591,47685000.0,43564000.0,-0.8010904896718074,33.94434308482752,31.024653383527685,-3.703144999283825,1176101000.0,1127100000.0,8.035619389831306,42705000.0,42249000.0,6.973422315888067,27.5401241072474,26.67755449833132,0.9929541852055745,40.891666666666666,39.925,4.442632973303451,2.421206428720501,4.9967126890204,83.48840150945671,2.70936939051966,2.11311453784639,7.969219044457332,24.62716930848,24.64563716387,5.976154485173502,26.62365467549,26.0936772533,7.247608686295015,27.35459850323,27.44792480206,5.399460767028241,8.51416868529,8.69299740406,39.61532329418625,16.8007732166,18.27384108503,-2.0151118716696392,1.69,1.21,7.692307692307709,58.4,58.4,-4.533390410958904,125.58333333333,116.91666666667,11.479761114800556,61.72833333333,54.9025,13.096363096369213,,,,,,
1973,5670712000.0,62143000.0,91.25262700545515,1710787000.0,54148000.0,31.59464800177292,1547543000.0,55667000.0,27.80000718558572,0.132778006872596,0.0028547799949555,0.0426932996762328,0.4685079426220155,0.0524739633232083,49.66666666666666,16.29268292682926,4.1740098635899,42.69879901029,50.03480567363,56.35876235846,19.68891732891,21.49028212624,2.8075,97.82166666667,290.33333333333,139.81,,,0.0017744792255299,0.050699484097678396,5579832000.0,5646260000.0,1.628722871943089,57513000.0,64123000.0,8.050353833046442,97.01862187679308,88.0535845172559,-5.9431836484549745,1546209000.0,1618636000.0,10.643968570872374,47303000.0,47685000.0,14.4705409804875,32.687334841341986,33.94434308482752,-3.342844697717806,1270608000.0,1176101000.0,21.79547114452294,45683000.0,42705000.0,21.854956986187425,27.81358492218112,27.5401241072474,-0.0488169239362346,42.708333333333336,40.891666666666666,16.292682926829237,4.442632973303451,2.421206428720501,266.73484000894985,2.92528497197365,2.70936939051966,42.68729042058943,26.09892699168,24.62716930848,63.603657054183984,28.55323298436,26.62365467549,75.23341647874516,28.83159931739,27.35459850323,95.47567146046865,11.88708413578,8.51416868529,65.63285919417837,16.46221884098,16.8007732166,30.54304728803301,1.82,1.69,54.258241758241766,55.7525,58.4,75.45700491757322,140.0,125.58333333333,107.38095238095,69.8125,61.72833333333,100.26499552372425,,,,,,
1974,4701402000.0,65405000.0,71.88138521519761,1781918000.0,65368000.0,27.259790723289683,1216287000.0,51341000.0,23.69036442609221,0.1226164247139791,0.0103620850629235,0.030620644240794,0.5808224185735942,0.0689466825006215,57.04166666666666,14.848993288590597,13.8029622412604,56.1911485006,68.61049726392,82.58080441648,70.51417413976,26.70617307809,10.9749994278,131.22583333333,276.91666666667,179.70583333333,,,0.0524739633232083,0.0164727191774132,5670712000.0,5579832000.0,-17.093268005851826,62143000.0,57513000.0,5.2491833352107165,91.25262700545515,97.01862187679308,-21.22814698704456,1710787000.0,1546209000.0,4.157794044495322,54148000.0,47303000.0,20.720986924724837,31.59464800177292,32.687334841341986,-13.720226534063585,1547543000.0,1270608000.0,-21.405285668960406,55667000.0,45683000.0,-7.77121095083263,27.80000718558572,27.81358492218112,-14.782883803081736,49.66666666666666,42.708333333333336,14.848993288590616,16.29268292682926,4.442632973303451,-8.860969336494806,4.1740098635899,2.92528497197365,230.68829955732352,42.69879901029,26.09892699168,31.598896931640795,50.03480567363,28.55323298436,37.125539592292256,56.35876235846,28.83159931739,46.52700123405713,19.68891732891,11.88708413578,258.14145065366955,21.49028212624,16.46221884098,24.270928232632684,2.8075,1.82,290.91716572751557,97.82166666667,55.7525,34.148024466282735,290.33333333333,140.0,-4.621125143510973,139.81,69.8125,28.5357509000286,,,,,,
1975,5840757000.0,67625000.0,86.36978927911275,2126927000.0,69499000.0,30.603706528151484,1548344000.0,53617000.0,28.877855903911072,0.1248745540825603,0.0191235341767154,0.0520221697854351,0.6347217025962991,0.0942331001837942,61.75,8.254200146092039,13.8493572313914,45.36458491839,52.94666702198,65.58260743432,51.2133943471,23.34227125951,10.43250012398,119.635,219.91666666667,149.055,,,0.0689466825006215,0.025286417683172704,4701402000.0,5670712000.0,24.234366684661303,65405000.0,62143000.0,3.3942359146854173,71.88138521519761,91.25262700545515,20.155988953941172,1781918000.0,1710787000.0,19.361665351604284,65368000.0,54148000.0,6.319605923387583,27.259790723289683,31.59464800177292,12.266843274056738,1216287000.0,1547543000.0,27.300875533488387,51341000.0,55667000.0,4.433104146783262,23.69036442609221,27.80000718558572,21.89705225515839,57.04166666666666,49.66666666666666,8.25420014609206,14.848993288590597,16.29268292682926,-44.412392236487484,13.8029622412604,4.1740098635899,0.3361234300294891,56.1911485006,42.69879901029,-19.267382623607332,68.61049726392,50.03480567363,-22.830078292082412,82.58080441648,56.35876235846,-20.583714462785995,70.51417413976,19.68891732891,-27.37148953117654,26.70617307809,21.49028212624,-12.5959710091888,10.9749994278,2.8075,-4.943046306187792,131.22583333333,97.82166666667,-8.832737456418227,276.91666666667,290.33333333333,-20.583809810412024,179.70583333333,139.81,-17.056114854366932,,,,,,
1976,6289169000.0,71506000.0,87.95302492098565,2148780000.0,70927000.0,30.29565609711393,1288608000.0,49401000.0,26.084654156798447,0.2716529630403624,0.0311208930072846,0.2462821708829501,0.3512674810328831,0.1644501803459443,63.05833333333334,2.1187584345479182,15.3701481052498,48.26704064277,47.61024356843,55.49915132775,25.99310812504,25.34049851961,11.63000011444,112.37166666667,231.16666666667,132.92,,,0.0942331001837942,0.0702170801621501,5840757000.0,4701402000.0,7.67729251533662,67625000.0,65405000.0,5.739001848428837,86.36978927911275,71.88138521519761,1.8330896197471525,2126927000.0,1781918000.0,1.0274447595051361,69499000.0,65368000.0,2.0547058231053628,30.603706528151484,27.259790723289683,-1.0065788297707878,1548344000.0,1216287000.0,-16.775083573159456,53617000.0,51341000.0,-7.863177723483227,28.877855903911072,23.69036442609221,-9.67246930106861,61.75,57.04166666666666,2.1187584345479182,8.254200146092039,14.848993288590597,-74.33114781507877,13.8493572313914,13.8029622412604,10.980949140450559,45.36458491839,56.1911485006,6.398065207918147,52.94666702198,68.61049726392,-10.078865684472005,65.58260743432,82.58080441648,-15.375198548896407,51.2133943471,70.51417413976,-49.24548849687429,23.34227125951,26.70617307809,8.560551961223117,10.43250012398,10.9749994278,11.478552372191619,119.635,131.22583333333,-6.071244479734195,219.91666666667,276.91666666667,5.115574081091245,149.055,179.70583333333,-10.824863305491272,,,,,,
1977,6505041000.0,71614000.0,90.83476694501076,2045527000.0,66686000.0,30.6740095372342,1767267000.0,57830000.0,30.559692201279613,0.2400391518802207,0.0442353887373725,0.1425670855512254,0.1673148970124043,0.1261541243489097,66.8,5.933659310162542,16.84637631586,56.29596515968,49.34962754736,49.30217719406,36.07970758711,28.33081622651,12.56500005722,95.35,280.16666666667,103.21833333333,,,0.1644501803459443,-0.03829605599703459,6289169000.0,5840757000.0,3.432440756481503,71506000.0,67625000.0,0.15103627667607533,87.95302492098565,86.36978927911275,3.2764558428933777,2148780000.0,2126927000.0,-4.805191783244444,70927000.0,69499000.0,-5.979387257320912,30.29565609711393,30.603706528151484,1.2488702634709137,1288608000.0,1548344000.0,37.14543134917678,49401000.0,53617000.0,17.062407643569966,26.084654156798447,28.877855903911072,17.1558266311721,63.05833333333334,61.75,5.933659310162542,2.1187584345479182,8.254200146092039,180.0536018363327,15.3701481052498,13.8493572313914,9.604515197260731,48.26704064277,45.36458491839,16.63438323541111,47.61024356843,52.94666702198,3.6533818114792727,55.49915132775,65.58260743432,-11.165889901800108,25.99310812504,51.2133943471,38.804899412368684,25.34049851961,23.34227125951,11.800548061775151,11.63000011444,10.43250012398,8.039552309368325,112.37166666667,119.635,-15.147649911753703,231.16666666667,219.91666666667,21.196827685652163,132.92,149.055,-22.34552111546042,,,,,,
1978,7267927000.0,71930000.0,101.04166550813292,1775524000.0,56495000.0,31.42798477741393,1868754000.0,63663000.0,29.3538476037887,0.2626204455660361,0.0612542578742269,0.1557372551171575,0.1708534369233126,0.1438368829370264,73.83333333333333,10.52894211576847,17.67004441125,55.90107969853,54.46639440601,59.19186931884,33.61459419753,30.70139479205,12.91666666667,100.7425,268.33333333333,127.745,,,0.1261541243489097,0.017682758588116687,6505041000.0,6289169000.0,11.727612477769167,71614000.0,71506000.0,0.4412545033094073,90.83476694501076,87.95302492098565,11.236775197872406,2045527000.0,2148780000.0,-13.199679104700158,66686000.0,70927000.0,-15.282068200221932,30.6740095372342,30.29565609711393,2.4580263602790753,1767267000.0,1288608000.0,5.742595770757908,57830000.0,49401000.0,10.08646031471554,30.559692201279613,26.084654156798447,-3.9458663050291443,66.8,63.05833333333334,10.52894211576847,5.933659310162542,2.1187584345479182,77.44433182632535,16.84637631586,15.3701481052498,4.889289423118015,56.29596515968,48.26704064277,-0.7014454055986663,49.34962754736,47.61024356843,10.368400154063018,49.30217719406,55.49915132775,20.05934156995306,36.07970758711,25.99310812504,-6.832409557722396,28.33081622651,25.34049851961,8.367491238469071,12.56500005722,11.63000011444,2.7987792108916665,95.35,112.37166666667,5.655479811221831,280.16666666667,231.16666666667,-4.223676383107611,103.21833333333,132.92,23.761928597959802,,,,,,
1979,7928139000.0,72400000.0,109.504682320442,2134060000.0,62454000.0,34.17010920037147,2260665000.0,70343000.0,32.137739362836385,0.3292352619391924,0.0783227605200609,0.2034791197936665,0.4473968685715445,0.2201160850167018,81.81666666666668,10.812641083521468,39.03839955154,63.33111899326,61.67687987375,64.34502897788,40.50676405343,39.0517492957,30.9645832777,115.5225,297.75,160.29333333333,156.31,,0.1438368829370264,0.0762792020796754,7267927000.0,6505041000.0,9.083910721722987,71930000.0,71614000.0,0.6534130404560079,101.04166550813292,90.83476694501076,8.37576931234163,1775524000.0,2045527000.0,20.19324999267822,56495000.0,66686000.0,10.547836091689522,31.42798477741393,30.6740095372342,8.725104210080303,1868754000.0,1767267000.0,20.971781197525186,63663000.0,57830000.0,10.492750891412594,29.3538476037887,30.559692201279613,9.483907515716506,73.83333333333333,66.8,10.812641083521468,10.52894211576847,5.933659310162542,2.694467921218058,17.67004441125,16.84637631586,120.92983267594617,55.90107969853,56.29596515968,13.291405702357807,54.46639440601,49.34962754736,13.238411586400844,59.19186931884,49.30217719406,8.705857271177319,33.61459419753,36.07970758711,20.50350456530703,30.70139479205,28.33081622651,27.198616089625638,12.91666666667,12.56500005722,139.72580602084136,100.7425,95.35,14.671067325111032,268.33333333333,280.16666666667,10.962732919256023,127.745,103.21833333333,25.47914465014678,,,,,,
1980,6639396000.0,72961000.0,90.99924617261276,2380934000.0,71125000.0,33.47534622144112,1797543000.0,67813000.0,26.50735109787209,0.2885889333047244,0.0919227411025596,0.0915326784832351,0.6705781256858019,0.200877848515678,88.35833333333333,7.995518435526572,46.7843762097,68.76335916492,70.99277537217,74.22412381344,52.53438338817,42.87884752722,36.86874993642,125.2625,296.22916666667,172.72666666667,168.30166666667,,0.2201160850167018,-0.019238236501023798,7928139000.0,7267927000.0,-16.255302789216984,72400000.0,71930000.0,0.774861878453037,109.504682320442,101.04166550813292,-16.899219061406935,2134060000.0,1775524000.0,11.568278305202284,62454000.0,56495000.0,13.883818490408938,34.17010920037147,31.42798477741393,-2.0332477571444074,2260665000.0,1868754000.0,-20.486095905408362,70343000.0,63663000.0,-3.5966620701420204,32.137739362836385,29.3538476037887,-17.519552951117635,81.81666666666668,73.83333333333333,7.995518435526572,10.812641083521468,10.52894211576847,-26.053973550349408,39.03839955154,17.67004441125,19.84194215731989,63.33111899326,55.90107969853,8.577521221815342,61.67687987375,54.46639440601,15.104355987996222,64.34502897788,59.19186931884,15.353314766485138,40.50676405343,33.61459419753,29.69286640343598,39.0517492957,30.70139479205,9.800068628273738,30.9645832777,12.91666666667,19.06748302009944,115.5225,100.7425,8.43125798004718,297.75,268.33333333333,-0.5107752588849768,160.29333333333,127.745,7.756612876397617,156.31,,7.671720725910047,,,
