year,corn_production,corn_area_harvested,corn_yield,wheat_production,wheat_area_harvested,wheat_yield,soybeans_production,soybeans_area_harvested,soybeans_yield,A_availability,X_access,U_utilization,S_stability,FSI_geomean
1989,7531953000.0,64783000.0,116.26434404087492,2036618000.0,62189000.0,32.748846258984706,1923666000.0,59538000.0,32.30988612314824,0.5765004277988747,0.2466038460674491,0.561817483400098,0.3611534172966105,0.4121180294202087
1990,7934028000.0,66952000.0,118.50322619189868,2729778000.0,69103000.0,39.50303170629351,1925947000.0,56512000.0,34.08031922423556,0.6442443088563214,0.2624092869234506,0.6166931899248204,0.3728463406743775,0.4440247795916501
1991,7474765000.0,68822000.0,108.61011013919968,1980139000.0,57803000.0,34.256682179125654,1986539000.0,58011000.0,34.2441778283429,0.6769871847007543,0.2697169559019794,0.705591834494869,0.3360643023906953,0.4561589041008341
1992,9476698000.0,72077000.0,131.48019479168113,2466798000.0,62761000.0,39.30463185736365,2190354000.0,58233000.0,37.61362114265108,0.7187625780195138,0.2866863126513396,0.7335784448224764,0.0,0.0035063861689139
1993,6337730000.0,62933000.0,100.70598890883956,2396440000.0,62712000.0,38.21342007909172,1869718000.0,57307000.0,32.626345821627375,0.7706995534968888,0.3020141880870682,0.7593700268890958,0.4758550227209753,0.5385302961919259
1994,10050520000.0,72514000.0,138.60109771906116,2320981000.0,61770000.0,37.57456694188117,2514869000.0,60809000.0,41.35685507079544,0.8384434345543367,0.322514279816926,0.9069856774405968,0.0610458647562688,0.3498000353196869
1995,7400051000.0,65210000.0,113.48030976844042,2182708000.0,60955000.0,35.808514477893524,2174254000.0,61544000.0,35.328447939685425,0.7424729363896194,0.3384022758430062,0.8257696317840093,0.1243477416385804,0.4007768967370731
1996,9232557000.0,72644000.0,127.09318044160564,2277388000.0,62819000.0,36.25317181107626,2380274000.0,63349000.0,37.57397906833573,0.7503763891796545,0.3586805847215025,0.8274159029797518,0.1980443360730684,0.4582667312132106
1997,9206832000.0,72671000.0,126.69196791017048,2481466000.0,62840000.0,39.4886378103119,2688750000.0,69110000.0,38.9053682535089,0.819249334921393,0.3826376404789073,0.8592438127640891,0.0,0.004051166103327
1998,9758685000.0,72589000.0,134.437518081252,2547321000.0,59002000.0,43.17346869597641,2741014000.0,70441000.0,38.91219602220298,0.8305399817643014,0.4049960528546035,0.893815507874663,0.4205953857926755,0.5963221359192177
1999,9430612000.0,70487000.0,133.79221700455403,2295560000.0,53773000.0,42.68982574898183,2653758000.0,72446000.0,36.63084228252768,0.8474759520286624,0.4314771122969967,0.9975305932063868,0.3023771266790981,0.5762886638807591
2000,9915051000.0,72440000.0,136.872598012148,2228160000.0,53063000.0,41.99084107570247,2757810000.0,72408000.0,38.08708982432881,0.9400592561405072,0.4601971535086114,0.9695439828787796,0.6890532904632318,0.7332125182125405
2001,9502580000.0,68768000.0,138.1831665891112,1947453000.0,48473000.0,40.17603614383265,2890682000.0,72975000.0,39.61194929770469,0.8858641512945492,0.472574119034705,0.886681666026451,0.9242203688578532,0.7653235568640672
2002,8966787000.0,69330000.0,129.33487667676332,1605878000.0,45824000.0,35.044474511173185,2756147000.0,72497000.0,38.01739382319269,0.9716730673006492,0.4855578268052787,0.9739340394007572,1.0,0.8233275866725963
2003,10087292000.0,70944000.0,142.18668245376634,2344415000.0,53063000.0,44.181727380660725,2453845000.0,72476000.0,33.85734588001545,0.964898679194904,0.5077922621977883,0.9843604236404534,0.999203074185171,0.8331897607670244
2004,11805581000.0,73631000.0,160.3343836155967,2156790000.0,49969000.0,43.16256078768836,3123790000.0,73958000.0,42.23735092890559,1.0,0.5417202829216604,1.0,0.6024435537310489,0.7558278051799627
2005,11112187000.0,75117000.0,147.93171985036676,2103325000.0,50104000.0,41.97918329873863,3068342000.0,71251000.0,43.06384471796887,1.0,0.5780489466405967,1.0,0.5608465807590794,0.7545745834699099
2006,10531123000.0,70638000.0,149.08580367507574,1808416000.0,46800000.0,38.64136752136752,3196726000.0,74602000.0,42.85040615533096,0.9716730673006492,0.6111219840639143,0.9854579377709488,0.6227609375725789,0.7769657629558635
2007,13037875000.0,86520000.0,150.6920365233472,2051088000.0,50999000.0,40.218200356869744,2677117000.0,64146000.0,41.73474573628909,0.9423173855090886,0.637298423277487,1.0,0.681049885654075,0.7997048741862552
2008,12043203000.0,78570000.0,153.2799159984727,2511896000.0,56036000.0,44.826468698693695,2967007000.0,74681000.0,39.72907432948139,0.8779606985045141,0.6446348968766878,0.892717993744169,0.6613335493226009,0.7602928962923783
2009,13067156000.0,79490000.0,164.38741980123285,2208918000.0,49841000.0,44.31929535924239,3360931000.0,76372000.0,44.00737181165872,0.8158621408685202,0.6227203952364363,0.7835153377599742,0.4709402139970495,0.658007414707575
2010,12425330000.0,81446000.0,152.55911892542298,2163023000.0,46883000.0,46.13661668408592,3331306000.0,76610000.0,43.48395770787104,0.8305800911247406,0.643847564969282,0.784892109118559,0.5347698007136636,0.6883120186374566
