Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2001","2001","g/cap/d","112.78"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2002","2002","g/cap/d","114.37"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2003","2003","g/cap/d","114.56"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2004","2004","g/cap/d","115.48"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2005","2005","g/cap/d","115.09"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2006","2006","g/cap/d","114.58"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2007","2007","g/cap/d","114.85"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2008","2008","g/cap/d","112.89"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2009","2009","g/cap/d","110.9"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2010","2010","g/cap/d","110.63"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2011","2011","g/cap/d","108.62"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2012","2012","g/cap/d","109.68"
"FBSH","Food Balances (-2013, old methodology and population)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2013","2013","g/cap/d","109.6"
